# code;(English);(French);(German);;(Spanish);;;;;;;;;x;;;;
NEUTRALITY_EFFECT;All Alliance and Puppet ties will be severed.\n;(French);(German);;(Spanish);;;;;;;;;x;;;; 
EVTNAME100000000;Pellegrino Rossi Assassinated!;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTDESC100000000;On the morning of November 15th, 1848, Pellegrino Rossi, Interior Minister to Pope Pius IX, was stabbed on the steps of the Palazzo della Cancelleria. An economist and politician, his compromising efforts do not seem to have been enough for the radical liberals of Rome.;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTOPTA100000000;Maybe I should pack my bags...;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTNAME100000011;The Papacy Restored!;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTDESC100000011;With the defeat of the Republican forces, Rome is once more under the control of Pope Pius IX. The government institutions of the Roman Republic have been rapidly dismantled, and the church's power restored.;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTOPTA100000011;Unlimited Power!;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTNAME100000012;Pope Flees Rome!;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTDESC100000012;The liberal mob of Rome has ousted Pope Pius IX and instituted 'the Roman Republic'. The Pope has called for all Catholic nations to see him restored to the Holy See.;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTOPTA100000012;Deus Vult!;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTOPTB100000012;$COUNTRY$ must fight the liberal threat at home...;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTNAME100000021;Tuscan Riots!;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTDESC100000021;Sparked by the fires of revolution across Italy, the people of Tuscany have taken to the streets in protest. The city of Livorno (Leghorn) is nearly in open revolt. They demand political reform and an attack on the Austrian Empire to free the Italian people of Lombardia and Venetia.;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTOPTA100000021;This is worrying.;(French);(German);;(Spanish);;;;;;;;;x;;;;
EVTNAME100000022;Florence in Rebellion!;(French);(German);;(Spanish);;;;;;;;;x;;;;
